,name,id,genres
106,Josiah and the Bonnevilles,3FMcVBx2TMq2f5gEPcUieC,"['modern folk rock', 'stomp and holler']"
107,Tonight Alive,5pjCYG6hPLBO3y4swxu3dh,"['candy pop', 'pixie', 'pop emo', 'pop punk']"
108,Karol XVII & MB Valence,00LIVantW8SMg38JskHPbj,['deep deep house']
109,YORK,20L5MecnuNujUE6imrfK0Q,"['german techno', 'german trance', 'trance']"
110,JZAC,4uClxFda8FlqQEMNkL7HH3,"['deep underground hip hop', 'indie pop rap']"
111,Yagya,2r01Y1iNjVr8W88RuseQLf,"['ambient techno', 'dub techno', 'icelandic electronic']"
112,Rebeca,6H53iHaFe93Luwi5j4JI20,[]
113,Air France,0jHgg7rmAGl9qLcHHId2Cq,"['balearic', 'gothenburg indie']"
114,Juan Pardo,1IzfzM2kYigRWUmErr9WmG,"['pop romantico', 'spanish invasion']"
115,Coldcut,5wnhqlZzXIq8aO9awQO2ND,"['trip hop', 'turntablism']"
116,Kid Dynamite,2PPmnWW92uj9Fjh3qkyd2d,"['melodic hardcore', 'orgcore', 'pennsylvania hardcore']"
117,İnci Çayırlı,7gRRZAHgMJG59GzuU2eKah,"['classic turkish pop', 'turk sanat muzigi']"
118,Dragonette,4GLJPBj5Cdr9AgLKvLWM4n,"['canadian electropop', 'canadian pop', 'dance rock', 'electropop', 'metropopolis', 'neo-synthpop']"
119,Allstar Weekend,67tSTaaEena434STFKeMJJ,"['neon pop punk', 'post-teen pop']"
120,Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,"['adult standards', 'australian dance', 'disco', 'mellow gold', 'soft rock']"
121,Marian Hill,1xHQO9GJIW9OXHxGBISYc5,['electropop']
122,Theis EZ,0B6IiyD6eUa5YfYzGz0L5V,['melbourne bounce international']
123,Mak Sauce,78GdFYPETzCgutsc5O5COH,"['atl trap', 'viral rap']"
124,Joyce Jonathan,25eQCECJH4VTpBYV9jhpyE,"['chanson', 'french pop']"
125,Dave Brubeck,3kUKwTJdH8FuWzF8p6Dg9E,"['american modern classical', 'bebop', 'cool jazz', 'jazz', 'jazz piano']"
126,Thomas Ulstrup,4iB0dWD35Hd2ET6m444kpx,[]
127,Mark Keali'i Ho'omalu,7ysDgZ3JkblCgOsDTJWttt,['movie tunes']
128,Skepsis,6DnQYUjtYusK9QJts9HqSC,"['bass house', 'bassline', 'old school bassline']"
129,DrefQuila,5pughe5rcsOq3GF0utMOs5,"['reggaeton chileno', 'trap chileno', 'urbano chileno']"
130,Bebe & Cece Winans,3WNUkxJcJeliFx9KXWXMgs,['gospel']
131,Mydnite,7ot3NfibqpHIzxIjb1BeYL,[]
132,Freddie Hubbard,0fTHKjepK5HWOrb2rkS5Em,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz funk', 'jazz trumpet']"
133,Jack White,4FZ3j1oH43e7cukCALsCwf,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'indie rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
134,Wally Fattz,000xIfxNz5OOErlEsxcQpp,[]
135,NLYTN,2sRSpUZ0eNk3lKT6A3nsa0,[]
136,Army Of Lovers,3JXnjuv4hBqQKOVzJg74Lt,['europop']
137,ezire,2tCXhPgBqC5WCfG7RgUzMa,[]
138,ATYYA,36NAuk7D3nO0JFfgZf3XI7,"['canadian electronic', 'glitch hop', 'psydub']"
139,Alaskan Tapes,5GHBk4xcO1UqlbyrUXv5dq,['pastoral']
140,Miguel,360IAlyVv4PCEVjgyMZrxK,"['r&b', 'urban contemporary']"
141,Robin Packalen,4Q4b4S784htx6DtxcMUfMO,"['finnish dance pop', 'finnish pop']"
142,Banda Black Rio,47UDFBXxSM6d5zbKvflXhv,"['bossa nova', 'brazilian boogie', 'brazilian soul', 'instrumental funk']"
143,Soul Clap,0PEfTatx7R08s3nFrn9teD,"['boston electronic', 'deep disco house', 'deep house', 'nu disco']"
144,Nephewtexasboy,4DNA5J3AF7CBIkzxfkkLGs,[]
145,Eric Burdon & War,0kfkq32zEuXK538yWZlCOE,['psychedelic soul']
146,Anté Svircic,1NyBHtcKv1r4OMktAd4mGm,[]
